sexo;cor;muni;area;esc;esc_mae;esc_pae;renda;ocup;religiao;politica;porte_arma;idade
M;Branca;m3;U;EMI;D;D;r4;ET;Ev;CD;arma_ns;15_19
M;Branca;m3;U;ESI;ESI;EMC;r2;ET;Ev;CE;arma_s;15_19
M;Branca;m3;U;EMC;ESC;ESC;r4;ET;Ev;NS;arma_s;15_19
M;Parda;m1;U;ESI;EMC;EMC;r3;ASR;Ev;NS;arma_ind;15_19
F;Branca;m3;U;ESI;EMC;M;r3;ET;Es;LD;arma_n;15_19
F;Parda;m4;U;ESI;EMC;EMC;r2;ET;Ag;CE;arma_n;15_19
M;Parda;m1;U;EMI;ESC;SN;r2;ET;Ev;NS;arma_n;15_19
M;Parda;m1;U;EMI;EMC;EMC;r2;ET;Ev;NS;arma_n;15_19
F;Parda;m2;U;EMI;EMI;EMI;r2;ET;Ev;NS;arma_ind;15_19
M;Parda;m1;U;ESI;ESC;ESC;r2;EST;Ca;LE;arma_n;15_19
F;Branca;m2;U;EMC;ESC;ESC;r3;ET;Ev;CD;arma_s;15_19
F;Parda;m2;U;EMC;ESC;ESC;r4;DES;Ev;NS;arma_n;15_19
F;Parda;m2;U;EMC;ESC;ESC;r3;DES;Ev;NS;arma_n;15_19
M;Branca;m4;U;ESI;ESC;EMC;r3;ET;Ag;LD;arma_s;15_19
M;Preta;m2;U;ESI;EMC;EMC;r2;FP;Ev;LD;arma_n;15_19
F;Parda;m2;U;EMC;ESC;ESC;r4;DES;Ev;NS;arma_n;15_19
M;Branca;m3;U;ESI;EFC;EFI;r3;AR;Ag;NS;arma_n;15_19
M;Parda;m1;U;ESI;ESI;ESI;r4;EST;Ca;LE;arma_s;15_19
F;Preta;m1;U;ESI;ESC;EMC;r1;R;Ca;NS;arma_n;15_19
F;Branca;m2;U;EMI;ESC;ESC;r3;ET;Ag;NS;arma_n;15_19
F;Parda;m2;U;EMC;ESC;ESC;r3;DES;Ev;NS;arma_n;15_19
M;Branca;m3;U;ESI;EFC;EFI;r3;AR;Ag;NS;arma_n;15_19
M;Branca;m1;R;ESI;EMC;EMC;r3;ET;Ev;NS;arma_s;15_19
F;Branca;m4;U;ESI;ESI;EMC;r4;ET;At;CE;arma_n;20_29
M;Branca;m2;U;ESI;EFC;EMC;r1;AR;Ca;CE;arma_s;20_29
M;Branca;m4;U;ESI;ESC;ESC;r3;ET;At;CE;arma_n;20_29
M;Branca;m2;U;ESI;EFC;EMC;r1;AR;Ca;CE;arma_s;20_29
F;Branca;m3;U;EMC;EMI;EMC;r2;ET;Ag;LE;arma_n;20_29
M;Preta;m3;U;ESI;ESC;EMC;r1;FREE;Ag;CE;arma_n;20_29
M;Parda;m3;U;ESI;ESC;EMI;r3;AUR;Ag;LD;arma_s;20_29
M;Branca;m1;U;ESI;ESC;EMC;r2;ET;Ag;CE;arma_n;20_29
F;Branca;m2;U;ESI;EMC;EMC;r1;ET;Ca;CE;arma_n;20_29
F;Branca;m1;U;EMC;EFC;EFI;r2;ET;Ca;CE;arma_n;20_29
F;Parda;m3;U;ESI;EFI;EFI;r1;ET;Ev;CE;arma_n;20_29
M;Branca;m1;U;ESI;ESC;SN;r1;ET;Ev;NS;arma_ind;20_29
F;Parda;m2;U;ESC;ESC;SN;r2;EST;Ev;LD;arma_s;20_29
F;Parda;m1;U;ESI;EMI;EFI;r1;EST;Ca;CD;arma_s;20_29
F;Branca;m2;U;ESI;ESC;ESI;r3;AR;Ag;CE;arma_n;20_29
M;Branca;m4;U;ESI;ESC;D;r4;ET;At;NS;arma_n;20_29
M;Branca;m2;U;ESI;EMI;EMC;r2;DES;Ev;NS;arma_ind;20_29
M;Branca;m3;U;ESI;EMC;EMC;r3;ET;Ev;NS;arma_n;20_29
M;Parda;m2;U;ESI;EMI;EMI;r2;ET;Ca;CE;arma_s;20_29
M;Branca;m3;U;ESI;EMC;EMC;r1;ET;Out;NS;arma_ind;20_29
M;Parda;m2;U;ESI;ESC;EMC;r2;FREE;Ca;CD;arma_s;20_29
M;Parda;m1;U;ESI;ESC;ESC;r2;ET;Ca;NS;arma_n;20_29
F;Branca;m2;U;EMC;ESC;EMC;r2;ET;Ca;NS;arma_n;20_29
F;Branca;m4;U;ESC;EMC;ESC;r4;DES;Ca;NS;arma_n;20_29
F;Branca;m4;U;ESC;M;D;r4;AUR;Ca;NS;arma_n;20_29
F;Preta;m2;U;ESC;D;D;r4;ET;Ag;CE;arma_n;20_29
F;Branca;m2;U;ESI;ESC;ESI;r3;EST;Ca;CD;arma_s;20_29
F;Branca;m4;U;ESC;EMC;ESI;r4;ET;Ag;CE;arma_n;20_29
F;Branca;m1;U;ESI;ESI;EMC;r3;ET;Ca;NS;arma_ind;20_29
M;Branca;m4;U;ESI;EMC;ESC;r3;ET;Ag;NS;arma_s;20_29
F;Branca;m2;U;EMC;EMC;EFC;r1;ET;Ev;NS;arma_n;20_29
M;Branca;m3;U;ESI;ESC;ESC;r3;EST;Ca;NS;arma_ns;20_29
F;Branca;m2;U;ESC;ESC;EMC;r2;FP;Ev;CE;arma_n;20_29
M;Branca;m1;U;ESC;EFC;ESC;r2;ET;Ag;CE;arma_n;20_29
F;Parda;m2;U;ESI;EMC;EMC;r2;ET;Ev;NS;arma_s;20_29
F;Parda;m1;U;ESI;ESC;EMI;r1;ET;Ca;CD;arma_s;20_29
F;Branca;m4;U;ESC;ESC;ESC;r3;ET;Out;CE;arma_n;20_29
F;Branca;m2;U;ESI;ESC;EMC;r1;ET;Es;CE;arma_n;20_29
F;Branca;m2;U;ESC;ESC;ESI;r5;DES;Ca;NS;arma_ns;20_29
F;Parda;m2;U;ESI;EMC;EFI;r1;ET;Ca;NS;arma_n;20_29
M;Branca;m1;U;EMC;EMI;EMI;r2;AUR;Ca;CD;arma_s;20_29
F;Branca;m3;U;ESI;M;ESC;r3;ET;Ca;CE;arma_n;20_29
M;Parda;m2;U;ESI;EMC;EFI;r2;ET;Ev;LD;arma_s;20_29
F;Branca;m1;R;ESI;EFI;EFI;r1;ET;Ca;NS;arma_ind;20_29
F;Branca;m3;U;ESI;ESI;ESC;r3;ET;Ca;NS;arma_n;20_29
F;Branca;m3;U;EMC;EMI;EMC;r2;ET;Ag;LE;arma_n;20_29
M;Branca;m3;U;ESI;M;M;r3;ET;Ev;NS;arma_n;20_29
F;Branca;m3;U;ESI;ESC;EMC;r2;APO;Es;CE;arma_n;20_29
M;Parda;m1;U;EMC;EFC;EMC;r1;OUT;Es;NS;arma_s;20_29
F;Parda;m1;U;ESI;EFI;EFI;r2;ET;Ag;CE;arma_n;20_29
M;Branca;m3;U;ESI;ESC;ESC;r2;AR;Es;NS;arma_s;20_29
F;Parda;m3;U;EMC;ESC;EFI;r3;PL;Ag;CE;arma_n;20_29
M;Branca;m3;U;ESI;M;M;r3;ET;Ev;NS;arma_n;20_29
M;Branca;m2;U;ESI;EFC;EMC;r1;AR;Ca;CE;arma_s;20_29
M;Branca;m2;U;ESI;EMC;EMC;r4;ET;Ev;LD;arma_s;20_29
M;Parda;m2;U;EMC;EMC;EFC;r2;AR;Ev;NS;arma_ind;20_29
F;Branca;m3;U;ESI;ESC;EMC;r2;APO;Es;CE;arma_n;20_29
F;Branca;m3;U;ESI;ESC;EMC;r2;APO;Es;CE;arma_n;20_29
F;Parda;m2;U;ESI;EMI;ESC;r2;ET;Ag;CE;arma_ns;20_29
M;Branca;m3;U;ESI;M;M;r3;ET;Ev;NS;arma_n;20_29
